,Ligand_name,Pose_count
646,CHEMBL685,0
647,CHEMBL368961,0
648,CHEMBL3818056,0
649,CHEMBL3760110,0
650,CHEMBL1774538,1
651,CHEMBL52901,0
652,CHEMBL593897,1
653,CHEMBL4514517,0
654,CHEMBL559920,0
655,CHEMBL3676921,0
656,CHEMBL382591,0
657,CHEMBL2298823,0
658,CHEMBL310985,1
659,CHEMBL2204343,0
660,CHEMBL3676892,0
661,CHEMBL557409,0
662,CHEMBL4434865,0
663,CHEMBL4531363,3
664,CHEMBL104719,1
665,CHEMBL2159479,1
666,CHEMBL2298804,2
667,CHEMBL156845,0
668,CHEMBL2112210,0
669,CHEMBL1257565,1
670,CHEMBL356358,0
671,CHEMBL5189417,1
672,CHEMBL93432,0
673,CHEMBL5189101,0
674,CHEMBL3104521,3
675,CHEMBL254198,1
676,CHEMBL1257689,0
677,CHEMBL4082245,0
678,CHEMBL1278088,0
679,CHEMBL255621,0
680,CHEMBL393027,1
681,CHEMBL5189614,0
682,CHEMBL54715,0
683,CHEMBL395788,0
684,CHEMBL187804,1
685,CHEMBL1834259,0
686,CHEMBL93958,0
687,CHEMBL160357,0
688,CHEMBL3676877,1
689,CHEMBL377542,0
690,CHEMBL35182,1
691,CHEMBL567286,0
692,CHEMBL552373,0
693,CHEMBL3759441,0
694,CHEMBL91155,0
695,CHEMBL240876,0
696,CHEMBL3289987,0
697,CHEMBL5178499,0
698,CHEMBL169193,0
699,CHEMBL1081685,0
700,CHEMBL1080293,1
701,CHEMBL3676855,0
702,CHEMBL3423337,0
703,CHEMBL431095,0
704,CHEMBL337627,0
705,CHEMBL1802360,0
706,CHEMBL4442855,0
707,CHEMBL569251,1
708,CHEMBL3676852,0
709,CHEMBL314663,0
710,CHEMBL1822386,0
711,CHEMBL345552,0
712,CHEMBL5204088,0
713,CHEMBL12856,0
714,CHEMBL923,0
715,CHEMBL59725,0
716,CHEMBL1631545,0
717,CHEMBL1079462,1
718,CHEMBL348435,0
719,CHEMBL440389,1
720,CHEMBL198070,1
721,CHEMBL198224,0
722,CHEMBL286177,1
723,CHEMBL160581,0
724,CHEMBL4857759,3
725,CHEMBL11425,1
726,CHEMBL395458,0
727,CHEMBL3104516,1
728,CHEMBL425143,0
729,CHEMBL229019,0
730,CHEMBL3676859,0
731,CHEMBL559919,0
732,CHEMBL52468,0
733,CHEMBL71324,0
734,CHEMBL309460,1
735,CHEMBL3817911,3
736,CHEMBL4290738,3
737,CHEMBL4442016,0
738,CHEMBL2377590,1
739,CHEMBL1946254,0
740,CHEMBL305481,0
741,CHEMBL112831,0
742,CHEMBL57219,1
743,CHEMBL143761,0
744,CHEMBL569846,0
745,CHEMBL1944691,0
746,CHEMBL564741,1
747,CHEMBL356304,0
748,CHEMBL4464971,1
749,CHEMBL287078,1
750,CHEMBL2397392,0
751,CHEMBL4854351,0
752,CHEMBL3770522,2
753,CHEMBL309858,0
754,CHEMBL3318831,0
755,CHEMBL3423338,0
756,CHEMBL425064,0
757,CHEMBL1221498,0
758,CHEMBL4583596,0
759,CHEMBL1093469,0
760,CHEMBL4544583,0
761,CHEMBL569977,0
762,CHEMBL568801,1
763,CHEMBL3817898,0
764,CHEMBL64752,0
765,CHEMBL4859080,3
766,CHEMBL4796345,0
767,CHEMBL561128,0
768,CHEMBL4586531,0
769,CHEMBL370364,0
770,CHEMBL166587,0
771,CHEMBL4456046,0
772,CHEMBL14376,0
773,CHEMBL379177,0
774,CHEMBL1258270,0
775,CHEMBL52096,0
776,CHEMBL240774,0
777,CHEMBL4205326,0
778,CHEMBL156816,1
779,CHEMBL73665,0
780,CHEMBL4741857,0
781,CHEMBL76990,0
782,CHEMBL1173287,0
783,CHEMBL3544895,0
784,CHEMBL4064609,1
785,CHEMBL221681,0
786,CHEMBL40583,0
787,CHEMBL4284656,2
788,CHEMBL3676917,0
789,CHEMBL5195091,0
790,CHEMBL2037527,0
791,CHEMBL78933,1
792,CHEMBL366900,0
793,CHEMBL542946,0
794,CHEMBL4450777,0
795,CHEMBL2059324,0
796,CHEMBL1258713,1
797,CHEMBL240024,3
798,CHEMBL4541924,3
799,CHEMBL54786,0
800,CHEMBL484202,1
801,CHEMBL150220,0
802,CHEMBL4436479,0
803,CHEMBL4453687,0
804,CHEMBL129022,0
805,CHEMBL543889,1
806,CHEMBL4472585,0
807,CHEMBL159929,1
808,CHEMBL4858083,0
809,CHEMBL438980,0
810,CHEMBL1940402,0
811,CHEMBL344127,0
812,CHEMBL4067792,0
813,CHEMBL1771110,0
814,CHEMBL3695415,1
815,CHEMBL4471655,0
816,CHEMBL4856059,0
817,CHEMBL2037530,0
818,CHEMBL3676863,1
819,CHEMBL1202222,0
820,CHEMBL4862399,0
821,CHEMBL200802,0
822,CHEMBL3676881,0
823,CHEMBL3092759,1
824,CHEMBL4444691,2
825,CHEMBL397112,0
826,CHEMBL3642804,0
827,CHEMBL828,0
