,Ligand_name,Pose_count
342,AA2AR_1053,0
343,AA2AR_2583,1
344,AA2AR_2833,0
345,AA2AR_6671,0
346,AA2AR_7029,1
347,AA2AR_6803,0
348,AA2AR_647,0
349,AA2AR_4910,1
350,AA2AR_6772,0
351,AA2AR_117,0
352,AA2AR_3663,0
353,AA2AR_4288,0
354,AA2AR_5207,0
355,AA2AR_3849,0
356,AA2AR_881,0
357,AA2AR_4504,0
358,AA2AR_165,0
359,AA2AR_6276,0
360,AA2AR_114,0
361,AA2AR_372,0
362,AA2AR_1071,0
363,AA2AR_2399,0
364,AA2AR_2924,0
365,AA2AR_6920,0
366,AA2AR_4747,0
367,AA2AR_1730,0
368,AA2AR_6020,0
369,AA2AR_3428,0
370,AA2AR_2176,1
371,AA2AR_5788,0
372,AA2AR_4605,0
373,AA2AR_5755,0
374,AA2AR_7085,0
375,AA2AR_5697,0
376,AA2AR_6520,0
377,AA2AR_3767,0
378,AA2AR_1074,1
379,AA2AR_5411,0
380,AA2AR_3840,0
381,AA2AR_887,0
382,AA2AR_6983,0
383,AA2AR_1526,0
384,AA2AR_2266,0
385,AA2AR_4791,0
386,AA2AR_1027,0
387,AA2AR_223,0
388,AA2AR_737,0
389,AA2AR_3570,0
390,AA2AR_7133,0
391,AA2AR_2989,0
392,AA2AR_752,0
393,AA2AR_3952,0
394,AA2AR_1082,0
395,AA2AR_5591,0
396,AA2AR_3724,0
397,AA2AR_6307,0
398,AA2AR_2822,0
399,AA2AR_4307,0
400,AA2AR_6898,0
401,AA2AR_2806,0
402,AA2AR_1855,0
403,AA2AR_5389,0
404,AA2AR_5013,0
405,AA2AR_2597,0
406,AA2AR_7162,0
407,AA2AR_3862,0
408,AA2AR_4298,0
409,AA2AR_4454,0
410,AA2AR_5621,0
411,AA2AR_3185,1
412,AA2AR_2746,0
413,AA2AR_5831,0
414,AA2AR_6452,0
415,AA2AR_6910,0
416,AA2AR_1738,0
417,AA2AR_2333,0
418,AA2AR_1490,0
419,AA2AR_5699,0
420,AA2AR_6379,0
421,AA2AR_4398,0
422,AA2AR_5045,0
423,AA2AR_748,0
424,AA2AR_772,0
425,AA2AR_1785,0
426,AA2AR_4426,0
427,AA2AR_5688,0
428,AA2AR_5874,0
429,AA2AR_5260,0
430,AA2AR_6804,1
431,AA2AR_2877,0
432,AA2AR_6834,0
433,AA2AR_5511,1
434,AA2AR_1908,0
435,AA2AR_3455,0
436,AA2AR_6015,0
437,AA2AR_3863,0
438,AA2AR_959,0
439,AA2AR_6543,0
440,AA2AR_4280,0
441,AA2AR_5157,0
442,AA2AR_6131,0
443,AA2AR_3164,0
444,AA2AR_485,0
445,AA2AR_1226,0
446,AA2AR_5735,0
447,AA2AR_3401,0
448,AA2AR_2240,0
449,AA2AR_3009,0
450,AA2AR_1700,0
451,AA2AR_6388,0
452,AA2AR_2527,0
453,AA2AR_1841,0
454,AA2AR_5397,0
455,AA2AR_5995,0
456,AA2AR_7104,0
457,AA2AR_1995,0
458,AA2AR_6991,0
459,AA2AR_4314,0
460,AA2AR_6183,1
461,AA2AR_1821,0
462,AA2AR_5780,1
463,AA2AR_964,0
464,AA2AR_3671,0
465,AA2AR_317,0
466,AA2AR_5861,0
467,AA2AR_6406,0
468,AA2AR_6614,0
469,AA2AR_645,0
470,AA2AR_4917,0
471,AA2AR_6314,0
472,AA2AR_3105,0
473,AA2AR_3219,0
474,AA2AR_6956,0
475,AA2AR_141,0
476,AA2AR_895,1
477,AA2AR_1726,0
478,AA2AR_2071,0
479,AA2AR_6642,0
480,AA2AR_6303,0
481,AA2AR_3362,3
482,AA2AR_5862,0
483,AA2AR_2996,0
484,AA2AR_3815,0
485,AA2AR_6127,0
486,AA2AR_3412,0
487,AA2AR_2252,0
488,AA2AR_401,0
489,AA2AR_4795,0
490,AA2AR_5942,0
491,AA2AR_1459,0
492,AA2AR_450,0
493,AA2AR_3739,0
494,AA2AR_248,0
495,AA2AR_7230,0
496,AA2AR_5222,0
497,AA2AR_2627,1
498,AA2AR_7151,0
499,AA2AR_1652,0
500,AA2AR_6203,0
501,AA2AR_5674,0
502,AA2AR_3420,0
503,AA2AR_5160,1
504,AA2AR_5161,0
505,AA2AR_408,1
506,AA2AR_2703,0
507,AA2AR_6493,0
508,AA2AR_6358,0
509,AA2AR_6710,0
510,AA2AR_5508,0
511,AA2AR_1473,0
512,AA2AR_3520,0
