SMILES,Name
COCCC(NC(=O)C1(N)CCN(c2ncnc3[nH]ccc23)CC1)c1ccc(Cl)cc1,AKT1_95
O=C(N[C@H](c1ccc(Cl)c(Cl)c1)C1CNC1)c1ccc2cnccc2c1,AKT1_96
O=C1C(Nc2ccccc2F)=C(Cl)C(=O)c2[nH]ncc21,AKT1_97
O=c1nc(-c2ccc3[nH]ncc3c2)cc(-c2ccccc2)[nH]1,AKT1_98
CC1(C#N)CN(c2cnc(C(=O)Nc3csc(-c4nncn4C4CC4)n3)cc2-n2cnc(C3CC3)c2)C1,AKT1_99
Cc1n[nH]c2sc(C(=O)NCCc3ccc(Cl)cc3)cc12,AKT1_100
N[C@H](COc1cncc(-c2ccc3cnccc3c2)c1)Cc1ccccc1,AKT1_101
O=C(Nc1ccc(F)cc1)C(F)(F)c1nc(N2CCOCC2)cc(=O)[nH]1,AKT1_102
Cc1ccc(C[C@@H](N)C(=O)N2CCN(c3ncnc4ccccc34)CC2)cc1,AKT1_103
COc1cccc(C(C)NC(=O)c2ccc(-c3ccncc3C)cc2)c1,AKT1_104
COc1ccccc1NC(=O)Cc1nc(N2CCOCC2)cc(=O)[nH]1,AKT1_105
O=c1[nH]ccc2nc(-c3ccc(CN4CCC(c5nnc(-c6ncccn6)[nH]5)CC4)cc3)c(-c3ccccc3)cc12,AKT1_106
Cc1n[nH]c2ccc(-c3cncc(OC[C@@H](N)Cc4c(F)cc(F)cc4Br)c3)cc12,AKT1_107
CNc1nccc(-c2cccnc2Oc2ccc(NC(=O)c3cccc(C(F)(F)F)c3)cc2C)n1,AKT1_108
C[C@H]1Cc2ccccc2N1C(=O)Cc1nc(N2CCOC(CF)C2)cc(=O)[nH]1,AKT1_109
O=C(Cc1nc(N2CCOC(CO)C2)cc(=O)[nH]1)N1CCc2c(Cl)cccc21,AKT1_110
N#Cc1c(O)[nH]c(=O)c2c(=N)oc3ccc(Cl)cc3c12,AKT1_111
Cc1n[nH]c2ccc(-c3cncc(OC[C@@H](N)Cc4ccc(F)c(Cl)c4)c3)cc12,AKT1_112
O=C(NN=Cc1ccc(Sc2nc3ccccc3[nH]2)o1)c1cccc([N+](=O)[O-])c1,AKT1_113
O=C(Cc1nc(N2CCOCC2)cc(=O)[nH]1)Nc1cc(F)cc(F)c1,AKT1_114
Cc1cccc(NC(=O)Nc2ccc(-c3cccc4[nH]ncc34)cc2)c1,AKT1_115
Nc1nccn2c1c(-c1ccc3ccc(-c4ccccc4)nc3c1)nc2[C@H]1C[C@@H](CN2CCC2)C1,AKT1_116
Nc1noc2cccc(-c3cccc(O)c3)c12,AKT1_117
O=C(NC(CO)Cc1ccc(Cl)cc1)c1ccc(-c2ccncc2)cc1,AKT1_118
O=C(Cc1nc(N2CCOCC2)cc(=O)[nH]1)N1CCc2c1cccc2C(F)(F)F,AKT1_119
CS(=O)(=O)NCC(NC(=O)C1(N)CCN(c2ncnc3[nH]ccc23)CC1)c1ccc(Cl)cc1,AKT1_120
COc1cc2ncc3c(N)nc(-c4cncc(OC[C@@H](N)Cc5ccc(Cl)c(Cl)c5)c4)cc3c2cc1OC,AKT1_121
NC1(C(=O)NCc2ccc(Cl)cc2)CCN(c2ccnc3[nH]ccc23)CC1,AKT1_122
NC(=O)c1cccc2c(NCc3ccc4c(c3)OCO4)nccc12,AKT1_123
O=C1Cc2c([nH]c3ccc([N+](=O)[O-])cc23)-c2ccccc2N1,AKT1_124
O=C(Cc1nc(N2CCOCC2)cc(=O)[nH]1)Nc1ccc(F)c([N+](=O)[O-])c1,AKT1_125
Cc1nc(N)nc2c1cc(-c1cn[nH]c1)c(=O)n2[C@H]1CC[C@H](OCC(N)=O)CC1,AKT1_126
N[C@H](CNc1nnc(-c2ccc3c(c2)CC(=O)N3)s1)Cc1ccc(C(F)(F)F)cc1,AKT1_127
O=C(NC(CO)c1cc(Cl)cc(Cl)c1)c1ccc(-c2ccncc2)cc1,AKT1_128
NC(COc1cncc(-c2ccc(F)cc2)c1)Cc1c[nH]c2ccccc12,AKT1_129
N[C@H](COc1cncc(-c2ccc(F)cc2)c1)Cc1c[nH]c2ccccc12,AKT1_130
O=C(Cc1nc(N2CCOCC2)c(F)c(=O)[nH]1)N1c2ccccc2CC1CO,AKT1_131
N[C@H](COc1cncc(-c2ccc3[nH]nc(C=O)c3c2)c1)Cc1c[nH]c2ccccc12,AKT1_132
NC1(C(=O)N[C@@H](CCN2CCCCC2)c2ccc(Cl)cc2)CCN(c2ncnc3[nH]ccc23)CC1,AKT1_133
Cn1ncc(Cl)c1-c1cc(C(=O)N[C@@H]2CNCC[C@H]2c2cccc(C(F)(F)F)c2)oc1Cl,AKT1_134
Cc1n[nH]c2ccc(-c3cncc(OC[C@@H](N)Cc4ccc(F)cc4F)c3)cc12,AKT1_135
CC1Cc2c(ccc(F)c2F)N1C(=O)Cc1nc(N2CCOCC2)c(F)c(=O)n1C,AKT1_136
Cc1n[nH]c2cnc(-c3cc(OC[C@@H](N)Cc4c[nH]c5ccccc45)cnc3-c3ccoc3)nc12,AKT1_137
CCn1ncc(Cl)c1-c1cc(C(=O)N[C@H](CN)Cc2ccc(F)c(F)c2)oc1Cl,AKT1_138
CC(C)C1Cc2ccccc2N1C(=O)Cc1nc(N2CCOCC2)cc(=O)[nH]1,AKT1_139
CCCCNC(=O)c1cc2c(C)n[nH]c2s1,AKT1_140
